Test Case ID,Module,Suite,Feature,Test Title,Preconditions,Steps,Input,Expected Result,Actual Result,Execution Status,Priority,Severity,Execution Time,Evidence,Traceability,Owner,Requirement ID,Environment
TC-SECURITY-1000,Notifications,Security,Notifications feature,Notifications vulnerability check for stale session persistence,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,4349ms,./evidence/TC-SECURITY-1000.png,REQ-650,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1001,History,Security,History feature,History resilience against graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,3340ms,./evidence/TC-SECURITY-1001.png,REQ-852,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1002,Tooth,Security,Tooth feature,Tooth Scan audit covering NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,421ms,./evidence/TC-SECURITY-1002.png,REQ-671,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1003,History,Security,History feature,History audit covering insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,3273ms,./evidence/TC-SECURITY-1003.png,REQ-628,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1004,Assessment,Security,Assessment feature,Assessment resilience against HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Assessment behaves correctly,Matches expected,Passed,High,High,6368ms,./evidence/TC-SECURITY-1004.png,REQ-745,QA-Team,REQ-ASSESSMENT,Staging
TC-SECURITY-1005,Tooth,Security,Tooth feature,Tooth Scan vulnerability check for SSRF on webhook URL,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,7985ms,./evidence/TC-SECURITY-1005.png,REQ-150,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1006,Profile,Security,Profile feature,Profile audit covering timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,1655ms,./evidence/TC-SECURITY-1006.png,REQ-398,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1007,Settings,Security,Settings feature,Settings audit covering HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,3700ms,./evidence/TC-SECURITY-1007.png,REQ-507,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1008,Settings,Security,Settings feature,Settings vulnerability check for stale session persistence,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,7344ms,./evidence/TC-SECURITY-1008.png,REQ-411,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1009,Reminder,Security,Reminder feature,Reminder vulnerability check for NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Reminder behaves correctly,Matches expected,Passed,High,High,6437ms,./evidence/TC-SECURITY-1009.png,REQ-947,QA-Team,REQ-REMINDER,Staging
TC-SECURITY-1010,Settings,Security,Settings feature,Settings audit covering path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,2442ms,./evidence/TC-SECURITY-1010.png,REQ-572,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1011,Reminder,Security,Reminder feature,Reminder audit covering SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Reminder behaves correctly,Matches expected,Passed,High,High,1463ms,./evidence/TC-SECURITY-1011.png,REQ-532,QA-Team,REQ-REMINDER,Staging
TC-SECURITY-1012,History,Security,History feature,History audit covering business logic flaw,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,2511ms,./evidence/TC-SECURITY-1012.png,REQ-727,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1013,Notifications,Security,Notifications feature,Notifications resilience against path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,7628ms,./evidence/TC-SECURITY-1013.png,REQ-155,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1014,Education,Security,Education feature,Education audit covering XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,5752ms,./evidence/TC-SECURITY-1014.png,REQ-629,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1015,Tooth,Security,Tooth feature,Tooth Scan resilience against IDOR on user object,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,7502ms,./evidence/TC-SECURITY-1015.png,REQ-245,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1016,Assessment,Security,Assessment feature,Assessment vulnerability check for graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Assessment behaves correctly,Matches expected,Passed,High,High,3897ms,./evidence/TC-SECURITY-1016.png,REQ-949,QA-Team,REQ-ASSESSMENT,Staging
TC-SECURITY-1017,Dashboard,Security,Dashboard feature,Dashboard audit covering insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,5392ms,./evidence/TC-SECURITY-1017.png,REQ-562,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1018,Tooth,Security,Tooth feature,Tooth Scan audit covering timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,840ms,./evidence/TC-SECURITY-1018.png,REQ-839,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1019,Offline,Security,Offline feature,Offline resilience against path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,4201ms,./evidence/TC-SECURITY-1019.png,REQ-215,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1020,Settings,Security,Settings feature,Settings resilience against NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,1572ms,./evidence/TC-SECURITY-1020.png,REQ-897,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1021,Authentication,Security,Authentication feature,Authentication resilience against NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Authentication behaves correctly,Matches expected,Passed,High,High,4895ms,./evidence/TC-SECURITY-1021.png,REQ-812,QA-Team,REQ-AUTHENTICATION,Staging
TC-SECURITY-1022,Offline,Security,Offline feature,Offline resilience against insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,4576ms,./evidence/TC-SECURITY-1022.png,REQ-238,QA-Team,REQ-OFFLINE,Staging
