Test Case ID,Module,Suite,Feature,Test Title,Preconditions,Steps,Input,Expected Result,Actual Result,Execution Status,Priority,Severity,Execution Time,Evidence,Traceability,Owner,Requirement ID,Environment
TC-SECURITY-1000,Permissions,Security,Permissions feature,Permissions audit covering NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,4349ms,./evidence/TC-SECURITY-1000.png,REQ-650,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1001,Reminder,Security,Reminder feature,Reminder resilience against business logic flaw,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Reminder behaves correctly,Matches expected,Passed,High,High,3340ms,./evidence/TC-SECURITY-1001.png,REQ-852,QA-Team,REQ-REMINDER,Staging
TC-SECURITY-1002,Permissions,Security,Permissions feature,Permissions resilience against unvalidated redirect,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,421ms,./evidence/TC-SECURITY-1002.png,REQ-671,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1003,Education,Security,Education feature,Education audit covering XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,3273ms,./evidence/TC-SECURITY-1003.png,REQ-628,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1004,Education,Security,Education feature,Education audit covering XSS payload execution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,6368ms,./evidence/TC-SECURITY-1004.png,REQ-745,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1005,Education,Security,Education feature,Education resilience against JWT signature manipulation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,7985ms,./evidence/TC-SECURITY-1005.png,REQ-150,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1006,Education,Security,Education feature,Education audit covering rate limit evasion,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,1655ms,./evidence/TC-SECURITY-1006.png,REQ-398,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1007,History,Security,History feature,History vulnerability check for graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,3700ms,./evidence/TC-SECURITY-1007.png,REQ-507,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1008,History,Security,History feature,History vulnerability check for secret exposure in headers,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,7344ms,./evidence/TC-SECURITY-1008.png,REQ-411,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1009,Visit,Security,Visit feature,Visit Reminder vulnerability check for XSS payload execution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Visit behaves correctly,Matches expected,Passed,High,High,6437ms,./evidence/TC-SECURITY-1009.png,REQ-947,QA-Team,REQ-VISIT,Staging
